short,long
github,https://github.com/paramt
gh,https://github.com/paramt
instagram,https://www.instagram.com/xparam/
ig,https://www.instagram.com/xparam/
twitter,https://twitter.com/paramoham/
linkedin,https://www.linkedin.com/in/paramt/
fiverr,https://www.fiverr.com/paramthakkar
mail,mailto:contact@param.me
m,mailto:contact@param.me
spellbind,https://play.google.com/store/apps/details?id=appinventor.ai_700164.SpellBind_all&hl=en_CA
topcorn,https://play.google.com/store/apps/details?id=appinventor.ai_700164.Topcorn&hl=en
aotm,http://www.peelschools.org/media/spotlightonschools/Pages/Article.aspx?art-id=1823
aotmfb,https://www.facebook.com/peelschools/photos/a.300866569951782/1386418304729931/?type=1&theater
resume,https://www.param.me/resume/ParamThakkarResume.pdf
r,https://www.param.me/resume/ParamThakkarResume.pdf
dev,https://dev.to/paramt
projects,https://www.param.me/projects
p,https://www.param.me/projects
certificates,https://www.param.me/certificates
c,https://www.param.me/certificates
copypasta,https://docs.google.com/document/d/1Wx4KwYxnj_dv1taHVhAzWY2DQOtmQhAlQoCfo4_bw84/edit?usp=sharing
